t,pa_x,pa_y,pa_z,pa_{dx},pa_{dy},pa_{dz},pb_x,pb_y,pb_z,pb_{dx},pb_{dy},pb_{dz},pc_x,pc_y,pc_z,pc_{dx},pc_{dy},pc_{dz},pd_x,pd_y,pd_z,pd_{dx},pd_{dy},pd_{dz}
0.0,0.128,0.128,-1.9146666666666667,0.0,0.0,0.0,-0.128,0.128,-1.9146666666666667,0.0,0.0,0.0,-0.128,-0.128,-1.9146666666666667,0.0,0.0,0.0,0.128,-0.128,-1.9146666666666667,0.0,0.0,0.0
0.001000050002500125,0.1279874094005227,0.12798533498058307,-1.9146022240284664,-0.02518512765977351,-0.02933365357849292,0.12887028530134254,-0.12801258781434813,0.12798533787599578,-1.9146399862601164,-0.02517398822603827,-0.02932207306949141,0.053353165495436214,-0.12801258422158288,-0.1280146583453238,-1.9146839713071762,-0.02515961863788684,-0.029306959923741736,-0.03460775444936103,0.12798741299328795,-0.12801466124073652,-1.914646209075526,-0.02517075807162208,-0.029318540432743248,0.04090936535654528
0.00200010000500025,0.12796221026136548,0.1279559865158103,-1.9144684505666207,-0.02521062980810641,-0.029360340174124932,0.13866325826238143,-0.12803776467405067,0.1279560125728357,-1.9145817336883308,-0.025177212561064612,-0.02932559977460019,0.06314615235346897,-0.12803773234142737,-0.12804395342150235,-1.9147136840454804,-0.02513410530820134,-0.029280261980983546,-0.024814748102410765,0.12796224259398878,-0.12804397947852775,-1.9146004009237703,-0.025167522555243137,-0.02931500238050829,0.050702357806501716
0.0030001500075003754,0.12793698562158368,0.1279266113659479,-1.9143248836504851,-0.025236126357945237,-0.029387021088269003,0.1484562145363344,-0.12806294475545332,0.1279266837456317,-1.914513687641409,-0.025180431304040848,-0.029329120804764585,0.07293913642106793,-0.12806285494387454,-0.12807322179556985,-1.9147336032794138,-0.02510858639594871,-0.029253558372883518,-0.015021725057494537,0.12793707543316246,-0.12807329417525365,-1.91454479928849,-0.0251642814498531,-0.029311458656387936,0.06049535305777194
0.0040002000100005,0.12791173548677878,0.12789720953668043,-1.9141715232967458,-0.02526161730398443,-0.02941369631554668,0.15824915412683488,-0.1280881280529633,0.12789735140005953,-1.9144358481221393,-0.025183644453957318,-0.029332636158968438,0.08273211770186101,-0.12808795202334425,-0.12810246346186344,-1.9147437289922755,-0.02508306190644115,-0.02922684910482706,-0.005228685310992631,0.12791191151639783,-0.12810260532524254,-1.9144794041668818,-0.025161034756468265,-0.029307909261405297,0.07028835111398123
0.005000250012500625,0.12788645986255748,0.12786778103369761,-1.914008369522085,-0.02528710264091959,-0.02944036585058072,0.16804207703751978,-0.12811331456098685,0.1278680155417959,-1.9143482151333078,-0.025186852009805513,-0.029336145836196814,0.09252509619947687,-0.1281130235742617,-0.1281316784147256,-1.9147440611673618,-0.025057531844992,-0.029200134182200813,0.004564371140711163,0.12788675084928264,-0.1281319129228239,-1.9144042155561394,-0.025157782476106078,-0.02930435419658472,0.08008135197875409
0.006000300015000751,0.127861241278637,0.1278384650971259,-1.913840725760008,-0.025146967900611644,-0.029187897031280396,0.16722874871846488,-0.12813842210016704,0.1278388208556442,-1.9142558761092658,-0.025025203688983987,-0.029049709931215785,0.09214378713101748,-0.12813799391864514,-0.1281607227247944,-1.9147392873460347,-0.02488025788307568,-0.028885121234687186,0.0049828650797932444,0.1278616694601589,-0.12816107848331268,-1.9143241369967772,-0.025002022094703338,-0.029023308334751797,0.08006782666724063
0.0070003500175008756,0.12783616455937774,0.1278094036718393,-1.9136738951690646,-0.025003390999872192,-0.028931374994531685,0.16641581599507754,-0.12816336645027537,0.12780991440537307,-1.9141639182060968,-0.024860493316074178,-0.028759708536496384,0.09176289236845554,-0.1281627857765376,-0.12818945062961615,-1.9147340947973277,-0.024700579119838747,-0.02856735971791695,0.005401783685832537,0.1278367452331155,-0.12818996136314992,-1.9142440717602958,-0.02484347680363676,-0.02873902617595225,0.08005470731245452
0.008000400020001,0.127811233136628,0.127780600792469,-1.913507877353928,-0.024856392905027093,-0.028670837315021316,0.1656032782786565,-0.1281881445584992,0.12778129973973734,-1.914072341010076,-0.024692739673905482,-0.028466175475421712,0.09138241069792623,-0.12818739675024116,-0.12821785939365088,-1.9147284830975848,-0.0245185100002972,-0.028246875962245833,0.005821124888399684,0.12781198094488605,-0.12821855834091922,-1.9141640194414367,-0.02468216323141881,-0.028451537801845436,0.08004199246912998
0.009000450022501126,0.12778645042127248,0.12775206045607398,-1.913342671919892,-0.024705994574584896,-0.02840632155840101,0.16479113491873043,-0.12821275339080554,0.12775298037367125,-1.91398114410872,-0.02452196153721813,-0.02816914456192335,0.09100234085363708,-0.12821182445649917,-0.12824594630768524,-1.9147224518252375,-0.024334064961105642,-0.02792369628809061,0.006240886583922203,0.12778737935557885,-0.1282468662252825,-1.9140839796364095,-0.024518097998472408,-0.02816087328456827,0.08002968064901556
0.01000050002500125,0.12776181980324033,0.1277237866221503,-1.9131782784729308,-0.024552216959234003,-0.028137865281288935,0.16397938520358465,-0.12823718993193314,0.12772495978829834,-1.9138903270908358,-0.024348177672668343,-0.027868649600494354,0.09062268151832165,-0.12823606652648853,-0.12827370868882265,-1.9147160005608375,-0.024147258430575753,-0.027597847005961285,0.006661066635982621,0.12776294320868495,-0.12827488185497068,-1.9140039519429326,-0.024351297717141413,-0.027867062686755865,0.08001777032124562
