t,u1,u2,u3,u4,Th,tau_x,tau_y,tau_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001000050002500125,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.00200010000500025,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.0030001500075003754,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.0040002000100005,0.05,-0.05,0.05,-0.05,0.0,0.0,0.0,0.0
0.005000250012500625,712.852450196825,-725.5569946848314,714.333172607915,-691.4995115012963,23.851895898627816,-0.09618303039648446,-0.10499207120125838,-0.00229685263001351
0.006000300015000751,712.852450196825,-725.5569946848314,714.333172607915,-691.4995115012963,23.851895898627816,-0.09618303039648446,-0.10499207120125838,-0.00229685263001351
0.0070003500175008756,712.852450196825,-725.5569946848314,714.333172607915,-691.4995115012963,23.851895898627816,-0.09618303039648446,-0.10499207120125838,-0.00229685263001351
0.008000400020001,712.852450196825,-725.5569946848314,714.333172607915,-691.4995115012963,23.851895898627816,-0.09618303039648446,-0.10499207120125838,-0.00229685263001351
0.009000450022501126,712.852450196825,-725.5569946848314,714.333172607915,-691.4995115012963,23.851895898627816,-0.09618303039648446,-0.10499207120125838,-0.00229685263001351
0.01000050002500125,713.5910251750586,-725.8521193716058,719.6524795637304,-684.3959393228046,23.844066284772722,-0.1037442739476872,-0.13995784339787248,-0.0052915673716296945
0.011000550027501376,713.5910251750586,-725.8521193716058,719.6524795637304,-684.3959393228046,23.844066284772722,-0.1037442739476872,-0.13995784339787248,-0.0052915673716296945
0.012000600030001501,713.5910251750586,-725.8521193716058,719.6524795637304,-684.3959393228046,23.844066284772722,-0.1037442739476872,-0.13995784339787248,-0.0052915673716296945
0.013000650032501625,713.5910251750586,-725.8521193716058,719.6524795637304,-684.3959393228046,23.844066284772722,-0.1037442739476872,-0.13995784339787248,-0.0052915673716296945
0.014000700035001751,713.5910251750586,-725.8521193716058,719.6524795637304,-684.3959393228046,23.844066284772722,-0.1037442739476872,-0.13995784339787248,-0.0052915673716296945
0.015000750037501875,714.1339611063634,-726.2230926578354,724.7323839587275,-677.5375008144914,23.835936319614298,-0.11065815553759265,-0.17422581300487525,-0.008101514250876244
0.016000800040002,714.1339611063634,-726.2230926578354,724.7323839587275,-677.5375008144914,23.835936319614298,-0.11065815553759265,-0.17422581300487525,-0.008101514250876244
0.017000850042502125,714.1339611063634,-726.2230926578354,724.7323839587275,-677.5375008144914,23.835936319614298,-0.11065815553759265,-0.17422581300487525,-0.008101514250876244
0.018000900045002252,714.1339611063634,-726.2230926578354,724.7323839587275,-677.5375008144914,23.835936319614298,-0.11065815553759265,-0.17422581300487525,-0.008101514250876244
0.019000950047502376,714.1339611063634,-726.2230926578354,724.7323839587275,-677.5375008144914,23.835936319614298,-0.11065815553759265,-0.17422581300487525,-0.008101514250876244
0.0200010000500025,714.2245777747337,-726.9202883464588,729.3046287904323,-671.2335479498728,23.827543881080306,-0.11690443966861185,-0.20764530073449564,-0.010471651659629934
0.021001050052502628,714.2245777747337,-726.9202883464588,729.3046287904323,-671.2335479498728,23.827543881080306,-0.11690443966861185,-0.20764530073449564,-0.010471651659629934
0.02200110005500275,714.2245777747337,-726.9202883464588,729.3046287904323,-671.2335479498728,23.827543881080306,-0.11690443966861185,-0.20764530073449564,-0.010471651659629934
0.023001150057502875,714.2245777747337,-726.9202883464588,729.3046287904323,-671.2335479498728,23.827543881080306,-0.11690443966861185,-0.20764530073449564,-0.010471651659629934
0.024001200060003003,714.2245777747337,-726.9202883464588,729.3046287904323,-671.2335479498728,23.827543881080306,-0.11690443966861185,-0.20764530073449564,-0.010471651659629934
0.025001250062503127,713.6882264060117,-728.1127739132012,733.1878396812456,-665.7150153234751,23.818941965237244,-0.12246529784873077,-0.24007193748455094,-0.012225309227011653
0.02600130006500325,713.6882264060117,-728.1127739132012,733.1878396812456,-665.7150153234751,23.818941965237244,-0.12246529784873077,-0.24007193748455094,-0.012225309227011653
0.027001350067503375,713.6882264060117,-728.1127739132012,733.1878396812456,-665.7150153234751,23.818941965237244,-0.12246529784873077,-0.24007193748455094,-0.012225309227011653
0.028001400070003502,713.6882264060117,-728.1127739132012,733.1878396812456,-665.7150153234751,23.818941965237244,-0.12246529784873077,-0.24007193748455094,-0.012225309227011653
0.029001450072503626,713.6882264060117,-728.1127739132012,733.1878396812456,-665.7150153234751,23.818941965237244,-0.12246529784873077,-0.24007193748455094,-0.012225309227011653
0.03000150007500375,712.44515868273,-729.8741141721976,736.2971287082671,-661.1131527208122,23.81019842405015,-0.1273258305951195,-0.2713680823517268,-0.013277574837832463
0.031001550077503878,712.44515868273,-729.8741141721976,736.2971287082671,-661.1131527208122,23.81019842405015,-0.1273258305951195,-0.2713680823517268,-0.013277574837832463
0.032001600080004,712.44515868273,-729.8741141721976,736.2971287082671,-661.1131527208122,23.81019842405015,-0.1273258305951195,-0.2713680823517268,-0.013277574837832463
0.03300165008250413,712.44515868273,-729.8741141721976,736.2971287082671,-661.1131527208122,23.81019842405015,-0.1273258305951195,-0.2713680823517268,-0.013277574837832463
0.03400170008500425,712.44515868273,-729.8741141721976,736.2971287082671,-661.1131527208122,23.81019842405015,-0.1273258305951195,-0.2713680823517268,-0.013277574837832463
0.03500175008750438,710.5026403406544,-732.190058162238,738.6334915599573,-657.4618117111269,23.80139545597615,-0.13147458439598275,-0.3014032194206222,-0.013628163584758326
