t,x,y,z,qx,qy,qz,qw,phi,theta,psi,dx,dy,dz,om_x,om_y,om_z
0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010000333344444814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002000066668888963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003000100003333444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004000133337777926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005000166672222407,2.0001333400002827e-05,1.964547640874464e-12,-1.9998773668252183,9.22611242236043e-11,-0.0008844857775195368,1.0714996066603012e-07,0.9999996088423725,-2.878003749339234e-10,-0.10135461739763811,1.2278486099691393e-05,0.010000333344444591,2.1430714428579213e-09,0.0,0.0,0.0,0.0
0.006000200006666888,2.0001333400002827e-05,1.964547640874464e-12,-1.9998773668252183,9.22611242236043e-11,-0.0008844857775195368,1.0714996066603012e-07,0.9999996088423725,-2.878003749339234e-10,-0.10135461739763811,1.2278486099691393e-05,0.010000333344444591,2.1430714428579213e-09,0.0,0.0,0.0,0.0
0.00700023334111137,2.0001333400002827e-05,1.964547640874464e-12,-1.9998773668252183,9.22611242236043e-11,-0.0008844857775195368,1.0714996066603012e-07,0.9999996088423725,-2.878003749339234e-10,-0.10135461739763811,1.2278486099691393e-05,0.010000333344444591,2.1430714428579213e-09,0.0,0.0,0.0,0.0
0.008000266675555852,2.0001333400002827e-05,1.964547640874464e-12,-1.9998773668252183,9.22611242236043e-11,-0.0008844857775195368,1.0714996066603012e-07,0.9999996088423725,-2.878003749339234e-10,-0.10135461739763811,1.2278486099691393e-05,0.010000333344444591,2.1430714428579213e-09,0.0,0.0,0.0,0.0
0.009000300010000333,2.0001333400002827e-05,1.964547640874464e-12,-1.9998773668252183,9.22611242236043e-11,-0.0008844857775195368,1.0714996066603012e-07,0.9999996088423725,-2.878003749339234e-10,-0.10135461739763811,1.2278486099691393e-05,0.010000333344444591,2.1430714428579213e-09,0.0,0.0,0.0,0.0
0.010000333344444815,0.0001012567503374883,6.268692926789501e-11,-1.9996333652066367,1.2449497130270878e-09,-0.002058848179452367,6.428988015595671e-07,0.9999978805696343,-9.016593252616322e-09,-0.23592678935847847,7.367095067100002e-05,0.022500750024982235,2.8931464478574173e-08,0.0,0.0,0.0,0.0
0.011000366678889296,0.0001012567503374883,6.268692926789501e-11,-1.9996333652066367,1.2449497130270878e-09,-0.002058848179452367,6.428988015595671e-07,0.9999978805696343,-9.016593252616322e-09,-0.23592678935847847,7.367095067100002e-05,0.022500750024982235,2.8931464478574173e-08,0.0,0.0,0.0,0.0
0.012000400013333776,0.0001012567503374883,6.268692926789501e-11,-1.9996333652066367,1.2449497130270878e-09,-0.002058848179452367,6.428988015595671e-07,0.9999978805696343,-9.016593252616322e-09,-0.23592678935847847,7.367095067100002e-05,0.022500750024982235,2.8931464478574173e-08,0.0,0.0,0.0,0.0
0.013000433347778258,0.0001012567503374883,6.268692926789501e-11,-1.9996333652066367,1.2449497130270878e-09,-0.002058848179452367,6.428988015595671e-07,0.9999978805696343,-9.016593252616322e-09,-0.23592678935847847,7.367095067100002e-05,0.022500750024982235,2.8931464478574173e-08,0.0,0.0,0.0,0.0
0.01400046668222274,0.0001012567503374883,6.268692926789501e-11,-1.9996333652066367,1.2449497130270878e-09,-0.002058848179452367,6.428988015595671e-07,0.9999978805696343,-9.016593252616322e-09,-0.23592678935847847,7.367095067100002e-05,0.022500750024982235,2.8931464478574173e-08,0.0,0.0,0.0,0.0
0.015000500016667221,0.0002450163341496168,3.8869765709601225e-10,-1.9993918815345186,4.897132608861538e-09,-0.0033098685423076273,1.625101031586334e-06,0.9999945223687936,-5.520741186424896e-08,-0.3792836889605761,0.0001862240635803604,0.035001166705371956,1.1376137575817507e-07,0.0,0.0,0.0,0.0
0.016000533351111703,0.0002450163341496168,3.8869765709601225e-10,-1.9993918815345186,4.897132608861538e-09,-0.0033098685423076273,1.625101031586334e-06,0.9999945223687936,-5.520741186424896e-08,-0.3792836889605761,0.0001862240635803604,0.035001166705371956,1.1376137575817507e-07,0.0,0.0,0.0,0.0
0.017000566685556183,0.0002450163341496168,3.8869765709601225e-10,-1.9993918815345186,4.897132608861538e-09,-0.0033098685423076273,1.625101031586334e-06,0.9999945223687936,-5.520741186424896e-08,-0.3792836889605761,0.0001862240635803604,0.035001166705371956,1.1376137575817507e-07,0.0,0.0,0.0,0.0
0.018000600020000666,0.0002450163341496168,3.8869765709601225e-10,-1.9993918815345186,4.897132608861538e-09,-0.0033098685423076273,1.625101031586334e-06,0.9999945223687936,-5.520741186424896e-08,-0.3792836889605761,0.0001862240635803604,0.035001166705371956,1.1376137575817507e-07,0.0,0.0,0.0,0.0
0.019000633354445146,0.0002450163341496168,3.8869765709601225e-10,-1.9993918815345186,4.897132608861538e-09,-0.0033098685423076273,1.625101031586334e-06,0.9999945223687936,-5.520741186424896e-08,-0.3792836889605761,0.0001862240635803604,0.035001166705371956,1.1376137575817507e-07,0.0,0.0,0.0,0.0
