t,pa_x,pa_y,pa_z,pa_{dx},pa_{dy},pa_{dz},pb_x,pb_y,pb_z,pb_{dx},pb_{dy},pb_{dz},pc_x,pc_y,pc_z,pc_{dx},pc_{dy},pc_{dz},pd_x,pd_y,pd_z,pd_{dx},pd_{dy},pd_{dz}
0.0,0.128,0.128,-1.9146666666666667,0.0,0.0,0.0,-0.128,0.128,-1.9146666666666667,0.0,0.0,0.0,-0.128,-0.128,-1.9146666666666667,0.0,0.0,0.0,0.128,-0.128,-1.9146666666666667,0.0,0.0,0.0
0.0010000333344444814,0.128,0.128,-1.9146617613396755,0.0,0.0,0.00981032696072782,-0.128,0.128,-1.9146617613396755,0.0,0.0,0.00981032696072782,-0.128,-0.128,-1.9146617613396755,0.0,0.0,0.00981032696072782,0.128,-0.128,-1.9146617613396755,0.0,0.0,0.00981032696072782
0.002000066668888963,0.128,0.128,-1.9146470453587017,0.0,0.0,0.01962065392145564,-0.128,0.128,-1.9146470453587017,0.0,0.0,0.01962065392145564,-0.128,-0.128,-1.9146470453587017,0.0,0.0,0.01962065392145564,0.128,-0.128,-1.9146470453587017,0.0,0.0,0.01962065392145564
0.003000100003333444,0.128,0.128,-1.9146225187237453,0.0,0.0,0.029430980882183457,-0.128,0.128,-1.9146225187237453,0.0,0.0,0.029430980882183457,-0.128,-0.128,-1.9146225187237453,0.0,0.0,0.029430980882183457,0.128,-0.128,-1.9146225187237453,0.0,0.0,0.029430980882183457
0.004000133337777926,0.128,0.128,-1.9145881814348065,0.0,0.0,0.03924130784291127,-0.128,0.128,-1.9145881814348065,0.0,0.0,0.03924130784291127,-0.128,-0.128,-1.9145881814348065,0.0,0.0,0.03924130784291127,0.128,-0.128,-1.9145881814348065,0.0,0.0,0.03924130784291127
0.005000166672222407,0.128,0.128,-1.914544033491885,0.0,0.0,0.04905163480363908,-0.128,0.128,-1.914544033491885,0.0,0.0,0.04905163480363908,-0.128,-0.128,-1.914544033491885,0.0,0.0,0.04905163480363908,0.128,-0.128,-1.914544033491885,0.0,0.0,0.04905163480363908
0.006000200006666888,0.1279999721455793,0.128,-1.9144949890291916,-5.570645958958795e-05,-1.3549099161267439e-18,0.049034020943613754,-0.12800002785440706,0.128,-1.914495072593241,-5.57064050371066e-05,-1.1058785097114294e-18,0.04886689841544458,-0.12800002785440706,-0.128,-1.914495072593241,-5.5706405037106846e-05,-1.1058785097114294e-18,0.04886689841544457,0.1279999721455793,-0.128,-1.9144949890291916,-5.570645958958819e-05,-1.3549099161267439e-18,0.049034020943613754
0.00700023334111137,0.1279998885854665,0.128,-1.9144459621809904,-0.00011140662088843634,-2.7096801990796286e-18,0.04901640697448649,-0.1280001114143153,0.128,-1.9144462964371887,-0.00011140618446858556,-2.2116106748059114e-18,0.0486821619181484,-0.1280001114143153,-0.128,-1.9144462964371887,-0.00011140618446858605,-2.2116106748059114e-18,0.04868216191814839,0.1279998885854665,-0.128,-1.9144459621809904,-0.00011140662088843683,-2.7096801990796286e-18,0.04901640697448648
0.008000266675555852,0.12799974932910876,0.12800000000000003,-1.9143969529474458,-0.0001670941870083281,-4.064171234705192e-18,0.04899879278716746,-0.12800025066978657,0.12800000000000003,-1.9143977050238918,-0.00016709271409133167,-3.3170501696887197e-18,0.04849742520266206,-0.12800025066978657,-0.12800000000000003,-1.9143977050238918,-0.00016709271409133243,-3.3170501696887197e-18,0.048497425202662044,0.12799974932910876,-0.12800000000000003,-1.9143969529474458,-0.00016709418700832886,-4.064171234705192e-18,0.04899879278716745
0.009000300010000333,0.12799955439224958,0.12800000000000003,-1.9143479613288303,-0.00022276286259040697,-5.418243429609169e-18,0.04898117827259101,-0.128000445604259,0.12800000000000003,-1.914349298353623,-0.00022275937123160064,-4.422050689527976e-18,0.04831268815992338,-0.128000445604259,-0.12800000000000003,-1.914349298353623,-0.0002227593712316016,-4.422050689527976e-18,0.048312688159923366,0.12799955439224958,-0.12800000000000003,-1.9143479613288303,-0.00022276286259040795,-5.418243429609169e-18,0.048981178272591
0.010000333344444815,0.1279993037969273,0.12800000000000003,-1.9142989873255254,-0.0002784063538044475,-6.771757211167141e-18,0.0489635633217278,-0.12800069619454862,0.12800000000000003,-1.914301076426764,-0.000278399534744279,-5.5264659502671296e-18,0.048127950680909685,-0.12800069619454862,-0.12800000000000003,-1.914301076426764,-0.0002783995347442802,-5.5264659502671296e-18,0.048127950680909665,0.1279993037969273,-0.12800000000000003,-1.9142989873255254,-0.0002784063538044487,-6.771757211167141e-18,0.048963563321727785
0.011000366678889296,0.12799896275580847,0.12800000000000003,-1.9142499782549385,-0.00040364693082005934,-7.467894547722515e-18,0.04905131033010992,-0.1280010372252673,0.12800000000000003,-1.9142530910068414,-0.0004036321985003612,-6.056431952702806e-18,0.04783968988616705,-0.1280010372252673,-0.12800000000000003,-1.9142530910068414,-0.0004036321985003626,-6.056431952702806e-18,0.047839689886167026,0.12799896275580847,-0.12800000000000003,-1.9142499782549385,-0.00040364693082006075,-7.467894547722515e-18,0.0490513103301099
0.012000400013333776,0.12799849649087305,0.128,-1.914200881435262,-0.0005288433554296344,-8.16327710198405e-18,0.049139055559366124,-0.12800150346935749,0.128,-1.914205393858166,-0.0005288153708590647,-6.585578941303339e-18,0.04755142731239382,-0.12800150346935749,-0.128,-1.914205393858166,-0.0005288153708590662,-6.585578941303339e-18,0.0475514273123938,0.12799849649087305,-0.128,-1.914200881435262,-0.0005288433554296359,-8.16327710198405e-18,0.0491390555593661
