t,x_uav,y_uav,z_uav,qx_uav,qy_uav,qz_uav,qw_uav,phi_uav,theta_uav,psi_uav,dx_uav,dy_uav,dz_uav,om_x_uav,om_y_uav,om_z_uav,x_gv,y_gv,z_gv,qx_gv,qy_gv,qz_gv,qw_gv,phi_gv,theta_gv,psi_gv,dx_gv,dy_gv,dz_gv,om_x_gv,om_y_gv,om_z_gv
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010000333344444814,0.0,0.0,-1.9999950946730087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00981032696072782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002000066668888963,0.0,0.0,-1.999980378692035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01962065392145564,0.0,0.0,0.0,1.2500833375001851e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002500083336111204,0.0,0.0,0.0,0.0,5.0001666722224085e-05
0.003000100003333444,0.0,0.0,-1.9999558520570786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.029430980882183457,0.0,0.0,0.0,5.00033335000074e-06,1.0418055671304014e-13,0.0,0.0,0.0,2.500166675000371e-08,0.9999999999999997,0.0,0.0,2.8649799711355485e-06,0.005000166672222408,0.0,0.0,0.0,0.0,0.00010000333344444817
0.004000133337777926,0.0,0.0,-1.9999215147681397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03924130784291127,0.0,0.0,0.0,1.125075003750163e-05,7.501000083338879e-13,0.0,0.0,0.0,7.500500025001107e-08,0.9999999999999972,0.0,0.0,8.594939913406645e-06,0.007500250008333613,0.0,0.0,0.0,0.0,0.00015000500016667227
0.005000166672222407,0.0,0.0,-1.9998773668252183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04905163480363908,0.0,0.0,0.0,2.0001333400002688e-05,2.75036669722424e-12,0.0,0.0,0.0,1.500100005000217e-07,0.9999999999999889,0.0,0.0,1.7189879826813287e-05,0.010000333344444818,0.0,0.0,0.0,0.0,0.00020000666688889637
0.006000200006666888,2.692943535637927e-13,9.3079304215074e-20,-1.9998283641445451,5.638567417167588e-14,-1.6321103428302355e-07,7.97721352893318e-12,0.9999999999999867,6.461173115385523e-12,-1.870260686419012e-05,9.141213339105431e-10,1.0770763790369762e-09,3.7229418520392066e-16,0.048950459697713326,2.2553601273114014e-10,-0.0006528223756608601,3.1907790489899805e-08,3.1252083437503426e-05,7.292638969912662e-12,0.0,0.0,0.0,2.500166675000345e-07,0.9999999999999688,0.0,0.0,2.8649799711355483e-05,0.012500416680556023,0.0,0.0,0.0,0.0,0.00025000833361112047
0.00700023334111137,4.308322257121723e-12,1.4892333384749383e-18,-1.9997794626423502,2.255451991730775e-13,-6.528441371320508e-07,3.1908854123644024e-11,0.999999999999787,2.5843188889109286e-11,-7.48104274694827e-05,3.656485323896036e-09,8.616100852637671e-09,2.97837988189136e-15,0.04884928459179073,4.5108203507418174e-10,-0.0013056447513217202,6.381558101144978e-08,4.500300015000271e-05,1.5939625177094405e-11,0.0,0.0,0.0,3.750250012500469e-07,0.9999999999999298,0.0,0.0,4.297469956703322e-05,0.015000500016667228,0.0,0.0,0.0,0.0,0.00030001000033334454
0.008000266675555852,2.1809755023944825e-11,7.539408449474893e-18,-1.999730662318634,5.074860824632287e-13,-1.4688993085466904e-06,7.179492180785847e-11,0.9999999999989213,5.814153660394961e-11,-0.00016832346181587776,8.227091934728901e-09,2.907761863679022e-08,1.005246863205306e-14,0.048748109485887085,6.76648076641046e-10,-0.0019584671269825805,9.572337159630287e-08,6.125408353749843e-05,3.062908367363102e-11,0.0,0.0,0.0,5.250350017500538e-07,0.9999999999998623,0.0,0.0,6.01645793938465e-05,0.01750058335277843,0.0,0.0,0.0,0.0,0.0003500116670555686
0.009000300010000333,6.892625944876825e-11,2.3829332333204153e-17,-1.9996819631733962,9.022208364735092e-13,-2.611376548525421e-06,1.2763541662109322e-10,0.9999999999965905,1.0334869839813133e-10,-0.00029924170990337524,1.462594110773262e-08,6.89206448743685e-08,2.3829882103949694e-14,0.04864693438004346,9.022441470436942e-10,-0.0026112895026434405,1.2763116227611764e-07,8.000533359998697e-05,5.367382281854959e-11,0.0,0.0,0.0,7.000466690000467e-07,0.9999999999997551,0.0,0.0,8.021943919179533e-05,0.020000666688889633,0.0,0.0,0.0,0.0,0.0004000133337777927
0.010000333344444815,1.682689678705461e-10,5.81809826529641e-17,-1.9996333652066367,1.4097669786071634e-12,-4.080275857064286e-06,1.9943033861861584e-10,0.9999999999916758,1.614541492657108e-10,-0.0004675651717065308,2.2853032760835887e-08,1.3460266500883393e-07,4.6547768929239996e-14,0.04854575927433879,1.1278802558941467e-09,-0.0032641118783043005,1.5953895308256117e-07,0.00010125675033746265,8.776170097504149e-11,0.0,0.0,0.0,9.000600030000118e-07,0.999999999999595,0.0,0.0,0.0001031392789608797,0.022500750025000835,0.0,0.0,0.0,0.0,0.0004500150005000167
