t,x,y,z,qx,qy,qz,qw,phi,theta,psi,dx,dy,dz,om_x,om_y,om_z
0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010000333344444814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002000066668888963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003000100003333444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004000133337777926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005000166672222407,2.0001333399996108e-05,1.3751833486118715e-11,-1.9998773668252183,1.1334492820790134e-09,-0.0015381930594466381,7.50049146359096e-07,0.9999988169800749,-2.3230626422677895e-09,-0.1762640102732042,8.594940628069565e-05,0.010000333344433569,1.500150009999994e-08,0.0,0.0,0.0,0.0
0.006000200006666888,2.0001333399996108e-05,1.3751833486118715e-11,-1.9998773668252183,1.1334492820790134e-09,-0.0015381930594466381,7.50049146359096e-07,0.9999988169800749,-2.3230626422677895e-09,-0.1762640102732042,8.594940628069565e-05,0.010000333344433569,1.500150009999994e-08,0.0,0.0,0.0,0.0
0.00700023334111137,2.0001333399996108e-05,1.3751833486118715e-11,-1.9998773668252183,1.1334492820790134e-09,-0.0015381930594466381,7.50049146359096e-07,0.9999988169800749,-2.3230626422677895e-09,-0.1762640102732042,8.594940628069565e-05,0.010000333344433569,1.500150009999994e-08,0.0,0.0,0.0,0.0
0.008000266675555852,2.0001333399996108e-05,1.3751833486118715e-11,-1.9998773668252183,1.1334492820790134e-09,-0.0015381930594466381,7.50049146359096e-07,0.9999988169800749,-2.3230626422677895e-09,-0.1762640102732042,8.594940628069565e-05,0.010000333344433569,1.500150009999994e-08,0.0,0.0,0.0,0.0
0.009000300010000333,2.0001333399996108e-05,1.3751833486118715e-11,-1.9998773668252183,1.1334492820790134e-09,-0.0015381930594466381,7.50049146359096e-07,0.9999988169800749,-2.3230626422677895e-09,-0.1762640102732042,8.594940628069565e-05,0.010000333344433569,1.500150009999994e-08,0.0,0.0,0.0,0.0
0.010000333344444815,0.00010125675033620503,4.3880850487238e-10,-1.9996333652066367,1.528267588264548e-08,-0.0035472555719483576,4.500274117041685e-06,0.9999937084590356,-7.804370948476075e-08,-0.4064863987318516,0.0005156969484828817,0.02250075002408944,2.0252025134734068e-07,0.0,0.0,0.0,0.0
