t,x_uav,y_uav,z_uav,qx_uav,qy_uav,qz_uav,qw_uav,phi_uav,theta_uav,psi_uav,dx_uav,dy_uav,dz_uav,om_x_uav,om_y_uav,om_z_uav,x_gv,y_gv,z_gv,qx_gv,qy_gv,qz_gv,qw_gv,phi_gv,theta_gv,psi_gv,dx_gv,dy_gv,dz_gv,om_x_gv,om_y_gv,om_z_gv
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001000050002500125,0.0,1.230766386577593e-18,-1.9999577631170515,0.00017180726635240384,0.0,0.0,0.9999999852411317,0.01968766260020135,0.0,0.0,0.0,4.510533492536964e-15,0.08446954147377177,0.687120111075675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00200010000500025,0.0,1.5794586146870436e-17,-1.9998683838613778,0.000515384478781015,0.0,0.0,0.9999998671894108,0.05905871353594465,0.0,0.0,0.0,2.8425756886144373e-14,0.09428003194812463,0.687120111075675,0.0,0.0,1.2501250093756251e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0025001250062503125,0.0,0.0,0.0,0.0,0.0
0.0030001500075003754,0.0,6.532271298303839e-17,-1.9997691936246809,0.000858961630370903,0.0,0.0,0.9999996310923909,0.09842976447168793,0.0,0.0,0.0,7.405266561404957e-14,0.1040905224224775,0.687120111075675,0.0,0.0,5.0005000375025004e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005000250012500625,0.0,0.0,0.0,0.0,0.0
0.0040002000100005,0.0,1.7037890637349792e-16,-1.9996601924069604,0.001202538680564395,0.0,0.0,0.9999992769500996,0.13780081540743122,0.0,0.0,0.0,1.3909335470212627e-13,0.11390101289683037,0.687120111075675,0.0,0.0,1.1251125084380626e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.007500375018750938,0.0,0.0,0.0,0.0,0.0
0.005000250012500625,0.0,3.492289167095339e-16,-1.9995413802082163,0.0015461155888038295,0.0,0.0,0.9999988047625789,0.1771718663431745,0.0,0.0,0.0,2.2124994219783906e-13,0.12371150337118324,0.687120111075675,0.0,0.0,2.0002000150010002e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010000500025001252,0.0,0.0,0.0,0.0,0.0
0.006000300015000751,2.671796081169084e-13,1.6689967572756425e-08,-1.9994177926105798,0.0018881313119107174,-1.5962073433114492e-07,-2.5208757067726024e-08,0.9999982174784727,0.21636403923630285,-1.8285701919321066e-05,-2.9232417906081985e-06,1.0686387026099665e-09,3.4523377556503444e-05,0.12345133706695664,0.6808764016517452,-0.0006386214204278208,-9.976182103220556e-05,3.125312523439063e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012500625031251567,0.0,0.0,0.0,0.0,0.0
0.0070003500175008756,4.274723839933141e-12,7.132991787695405e-08,-1.9992944651797417,0.0022270248110869174,-6.384790304403752e-07,-1.0089265334664356e-07,0.9999975201769619,0.2551984560489567,-7.313837843683486e-05,-1.1724356499029131e-05,8.548923753563912e-09,7.588554333239883e-05,0.12319119652522151,0.6746326921972049,-0.0012772656510960487,-0.00019947733423135688,4.500450033752252e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015000750037501882,0.0,0.0,0.0,0.0,0.0
0.008000400020001,2.1640369886885594e-11,1.7072709696766396e-07,-1.9991713978877577,0.0025627960539127306,-1.4365688227395319e-06,-2.2713844422334163e-07,0.9999967160317432,0.2936751167954753,-0.00016455141561452574,-2.6449947017776234e-05,2.8851978166267858e-08,0.00012402273241975432,0.12293108608516702,0.6683889826814615,-0.0019159322593433727,-0.000299147395122422,6.125612545940565e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.017500875043752195,0.0,0.0,0.0,0.0,0.0
0.009000450022501126,6.839300355978744e-11,3.2162498545587114e-07,-1.9990485907024085,0.0028954450100187293,-2.5538837737948334e-06,-4.040333089024887e-07,0.9999958081869685,0.3317940214999613,-0.00029251824081069996,-4.7145974873752745e-05,6.838833080588611e-08,0.00017887118616199455,0.12267100995738126,0.6621452730739413,-0.002554620812992757,-0.00039877285930679286,8.000800060004002e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020001000050002507,0.0,0.0,0.0,0.0,0.0
0.01000050002500125,1.6697205240986646e-10,5.307033054122814e-07,-1.9989260435873277,0.0032249716510364245,-3.990417276616622e-06,-6.316648505581336e-07,0.9999947997572426,0.3695551701964507,-0.0004570323243847632,-7.385776037665688e-05,1.3356789102398233e-07,0.00024036715253774064,0.12241097222509616,0.6559015633440896,-0.0031933308803442084,-0.0004983545824610989,0.00010126012575942565,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02250112505625282,0.0,0.0,0.0,0.0,0.0
