t,x,y,z,qx,qy,qz,qw,phi,theta,psi,dx,dy,dz,om_x,om_y,om_z
0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001000050002500125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00200010000500025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0030001500075003754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0040002000100005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005000250012500625,2.0002000150009578e-05,3.438187585946055e-12,-1.9995413802082163,2.788663897429117e-10,-0.0015139188064309985,1.8751854411697182e-07,0.9999988540242496,-5.754562743007066e-10,-0.17348238253684242,2.1488067812678895e-05,0.01000050002500055,3.750562556254602e-09,0.0,0.0,0.0,0.0
0.006000300015000751,2.0002000150009578e-05,3.438187585946055e-12,-1.9995413802082163,2.788663897429117e-10,-0.0015139188064309985,1.8751854411697182e-07,0.9999988540242496,-5.754562743007066e-10,-0.17348238253684242,2.1488067812678895e-05,0.01000050002500055,3.750562556254602e-09,0.0,0.0,0.0,0.0
0.0070003500175008756,2.0002000150009578e-05,3.438187585946055e-12,-1.9995413802082163,2.788663897429117e-10,-0.0015139188064309985,1.8751854411697182e-07,0.9999988540242496,-5.754562743007066e-10,-0.17348238253684242,2.1488067812678895e-05,0.01000050002500055,3.750562556254602e-09,0.0,0.0,0.0,0.0
0.008000400020001,2.0002000150009578e-05,3.438187585946055e-12,-1.9995413802082163,2.788663897429117e-10,-0.0015139188064309985,1.8751854411697182e-07,0.9999988540242496,-5.754562743007066e-10,-0.17348238253684242,2.1488067812678895e-05,0.01000050002500055,3.750562556254602e-09,0.0,0.0,0.0,0.0
0.009000450022501126,2.0002000150009578e-05,3.438187585946055e-12,-1.9995413802082163,2.788663897429117e-10,-0.0015139188064309985,1.8751854411697182e-07,0.9999988540242496,-5.754562743007066e-10,-0.17348238253684242,2.1488067812678895e-05,0.01000050002500055,3.750562556254602e-09,0.0,0.0,0.0,0.0
