t,x,y,z,qx,qy,qz,qw,phi,theta,psi,dx,dy,dz,om_x,om_y,om_z
0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010000333344444814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002000066668888963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003000100003333444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004000133337777926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005000166672222407,2.0001333400002888e-05,1.527981498457919e-12,-1.9998773668252183,1.2593880911990222e-10,-0.001538193059447059,8.333879403990729e-08,0.9999988169803528,-2.5811807136114986e-10,-0.1762640102732042,9.549934031188408e-06,0.01000033334444468,1.6668333444450551e-09,0.0,0.0,0.0,0.0
0.006000200006666888,2.0001333400002888e-05,1.527981498457919e-12,-1.9998773668252183,1.2593880911990222e-10,-0.001538193059447059,8.333879403990729e-08,0.9999988169803528,-2.5811807136114986e-10,-0.1762640102732042,9.549934031188408e-06,0.01000033334444468,1.6668333444450551e-09,0.0,0.0,0.0,0.0
0.00700023334111137,2.0001333400002888e-05,1.527981498457919e-12,-1.9998773668252183,1.2593880911990222e-10,-0.001538193059447059,8.333879403990729e-08,0.9999988169803528,-2.5811807136114986e-10,-0.1762640102732042,9.549934031188408e-06,0.01000033334444468,1.6668333444450551e-09,0.0,0.0,0.0,0.0
0.008000266675555852,2.0001333400002888e-05,1.527981498457919e-12,-1.9998773668252183,1.2593880911990222e-10,-0.001538193059447059,8.333879403990729e-08,0.9999988169803528,-2.5811807136114986e-10,-0.1762640102732042,9.549934031188408e-06,0.01000033334444468,1.6668333444450551e-09,0.0,0.0,0.0,0.0
0.009000300010000333,2.0001333400002888e-05,1.527981498457919e-12,-1.9998773668252183,1.2593880911990222e-10,-0.001538193059447059,8.333879403990729e-08,0.9999988169803528,-2.5811807136114986e-10,-0.1762640102732042,9.549934031188408e-06,0.01000033334444468,1.6668333444450551e-09,0.0,0.0,0.0,0.0
0.010000333344444815,0.00010125675033749886,4.8756500541698764e-11,-1.9996333652066367,1.6980750980769907e-09,-0.00354725557198272,5.000304574507432e-07,0.9999937084690369,-8.671523276174176e-09,-0.40648639873205517,5.729966094254244e-05,0.022500750024989587,2.2502250150004597e-08,0.0,0.0,0.0,0.0
0.011000366678889296,0.00010125675033749886,4.8756500541698764e-11,-1.9996333652066367,1.6980750980769907e-09,-0.00354725557198272,5.000304574507432e-07,0.9999937084690369,-8.671523276174176e-09,-0.40648639873205517,5.729966094254244e-05,0.022500750024989587,2.2502250150004597e-08,0.0,0.0,0.0,0.0
0.012000400013333776,0.00010125675033749886,4.8756500541698764e-11,-1.9996333652066367,1.6980750980769907e-09,-0.00354725557198272,5.000304574507432e-07,0.9999937084690369,-8.671523276174176e-09,-0.40648639873205517,5.729966094254244e-05,0.022500750024989587,2.2502250150004597e-08,0.0,0.0,0.0,0.0
0.013000433347778258,0.00010125675033749886,4.8756500541698764e-11,-1.9996333652066367,1.6980750980769907e-09,-0.00354725557198272,5.000304574507432e-07,0.9999937084690369,-8.671523276174176e-09,-0.40648639873205517,5.729966094254244e-05,0.022500750024989587,2.2502250150004597e-08,0.0,0.0,0.0,0.0
0.01400046668222274,0.00010125675033749886,4.8756500541698764e-11,-1.9996333652066367,1.6980750980769907e-09,-0.00354725557198272,5.000304574507432e-07,0.9999937084690369,-8.671523276174176e-09,-0.40648639873205517,5.729966094254244e-05,0.022500750024989587,2.2502250150004597e-08,0.0,0.0,0.0,0.0
0.015000500016667221,0.0002450163341497825,3.0232039996366963e-10,-1.9993918815389884,6.677540877032558e-09,-0.005653130927122527,1.263955600186038e-06,0.9999840209268962,-5.361764533572386e-08,-0.6478045367606408,0.0001448412603017485,0.035001166705444994,8.848107003419771e-08,0.0,0.0,0.0,0.0
0.016000533351111703,0.0002450163341497825,3.0232039996366963e-10,-1.9993918815389884,6.677540877032558e-09,-0.005653130927122527,1.263955600186038e-06,0.9999840209268962,-5.361764533572386e-08,-0.6478045367606408,0.0001448412603017485,0.035001166705444994,8.848107003419771e-08,0.0,0.0,0.0,0.0
0.017000566685556183,0.0002450163341497825,3.0232039996366963e-10,-1.9993918815389884,6.677540877032558e-09,-0.005653130927122527,1.263955600186038e-06,0.9999840209268962,-5.361764533572386e-08,-0.6478045367606408,0.0001448412603017485,0.035001166705444994,8.848107003419771e-08,0.0,0.0,0.0,0.0
0.018000600020000666,0.0002450163341497825,3.0232039996366963e-10,-1.9993918815389884,6.677540877032558e-09,-0.005653130927122527,1.263955600186038e-06,0.9999840209268962,-5.361764533572386e-08,-0.6478045367606408,0.0001448412603017485,0.035001166705444994,8.848107003419771e-08,0.0,0.0,0.0,0.0
0.019000633354445146,0.0002450163341497825,3.0232039996366963e-10,-1.9993918815389884,6.677540877032558e-09,-0.005653130927122527,1.263955600186038e-06,0.9999840209268962,-5.361764533572386e-08,-0.6478045367606408,0.0001448412603017485,0.035001166705444994,8.848107003419771e-08,0.0,0.0,0.0,0.0
